transaction_id,Date,store_id,store_location,product_id,product_name,category,quantity_sold,unit_price,total_sales,payment_method
1,2/10/2026,1,Rusip,8855,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,Electronics,11,342.79,3770.69,Debit Card
2,2/23/2026,6,Luoxi,1634,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,Beauty,4,289.12,1156.48,Credit Card
3,7/6/2025,7,Xinchengzi,7164,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,Home & Kitchen,11,204.53,2249.83,Mobile Payment
4,9/23/2025,8,Dijon,8005,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,Beauty,9,454.4,4089.6,Cash
5,12/23/2025,2,Hafnarfjörður,3072,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,Sports,14,349.72,4896.08,Credit Card
6,10/22/2025,5,Tô Hạp,8360,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,Beauty,9,298.57,2687.13,Credit Card
7,7/20/2025,5,Ágios Athanásios,6945,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,Home & Kitchen,13,121.2,1575.6,Debit Card
8,11/1/2025,3,Salamanca,7504,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat,Electronics,4,117.01,468.04,Mobile Payment
9,4/26/2025,7,Laxiong,9825,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,Sports,13,304.53,3958.89,Credit Card
10,4/28/2025,6,Torres Novas,9841,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,Electronics,4,166.6,666.4,Mobile Payment
11,1/29/2026,7,Bakung Utara,1126,id nisl venenatis lacinia aenean sit amet justo morbi ut,Electronics,12,393.9,4726.8,Mobile Payment
12,4/26/2025,7,Chenggan,8151,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,Home & Kitchen,17,480.19,8163.23,Mobile Payment
13,2/18/2026,3,Kimberley,2264,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,Electronics,20,468.46,9369.2,Credit Card
14,7/6/2025,7,Pantijan No 2,6239,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,Clothing,8,369.45,2955.6,Mobile Payment
15,10/9/2025,3,Baykalovo,3331,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,Beauty,4,292.56,1170.24,Debit Card
16,4/20/2025,2,Yunfeng,4672,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,Home & Kitchen,18,87.71,1578.78,Cash
17,4/16/2025,3,Toulouse,5321,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,Beauty,19,338.41,6429.79,Credit Card
18,6/6/2025,6,Troitskoye,5465,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,Home & Kitchen,2,161.62,323.24,Credit Card
19,2/9/2026,7,Meicheng,1856,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,Electronics,4,398.65,1594.6,Debit Card
20,9/3/2025,3,Princeville,3476,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,Clothing,11,342.87,3771.57,Debit Card
21,9/19/2025,7,Shuidong,7593,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,Beauty,18,118.79,2138.22,Credit Card
22,3/4/2026,8,Guamal,1023,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,Home & Kitchen,6,173.13,1038.78,Credit Card
23,4/9/2026,5,Tangtou,7110,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,Clothing,8,95.96,767.68,Mobile Payment
24,5/21/2025,7,Umuquena,5986,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,Sports,9,378.16,3403.44,Cash
25,12/6/2025,8,Joševa,6160,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,Clothing,19,435.39,8272.41,Mobile Payment
26,1/3/2026,2,Tonggoh,1310,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,Sports,10,7.91,79.1,Mobile Payment
27,1/16/2026,9,Xiashixiang,2025,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,Clothing,2,335.8,671.6,Mobile Payment
28,8/3/2025,7,Portão,9654,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,Clothing,4,116.54,466.16,Cash
29,8/1/2025,10,Tianjiazhuang,8756,fusce posuere felis sed lacus morbi sem mauris laoreet ut,Electronics,11,391.55,4307.05,Debit Card
30,9/17/2025,7,Bohumín,2557,porta volutpat erat quisque erat eros viverra eget congue eget semper,Home & Kitchen,15,181.56,2723.4,Debit Card
31,7/4/2025,8,Yaozhanzi,3662,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,Clothing,6,123.44,740.64,Credit Card
32,9/7/2025,7,Xiaoweizhai,8038,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,Beauty,11,438.79,4826.69,Debit Card
33,12/25/2025,3,Pacapausa,9762,mi integer ac neque duis bibendum morbi non quam nec,Clothing,7,63.52,444.64,Credit Card
34,1/3/2026,9,Dao,1068,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,Sports,12,403.55,4842.6,Mobile Payment
35,8/8/2025,5,Rancho Viejo,5447,nisi eu orci mauris lacinia sapien quis libero nullam sit amet,Home & Kitchen,17,33.37,567.29,Debit Card
36,10/15/2025,1,Karuk,8439,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,Beauty,4,72.57,290.28,Credit Card
37,11/19/2025,3,Kunjāh,9249,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,Sports,1,8.92,8.92,Mobile Payment
38,12/8/2025,8,Ninh Hòa,2466,amet diam in magna bibendum imperdiet nullam orci pede venenatis non,Clothing,19,426.32,8100.08,Debit Card
39,4/8/2026,8,Fermelã,7147,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,Clothing,9,284.08,2556.72,Debit Card
40,7/28/2025,4,Piaski,1465,justo in hac habitasse platea dictumst etiam faucibus cursus urna,Beauty,4,462.45,1849.8,Debit Card
41,8/25/2025,10,Dietaisi,1826,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,Electronics,15,250.98,3764.7,Debit Card
42,4/13/2025,2,Sollebrunn,5059,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,Electronics,5,415.5,2077.5,Cash
43,2/28/2026,7,Madison,4612,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,Electronics,8,476.2,3809.6,Credit Card
44,4/30/2025,8,Yopal,7799,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,Home & Kitchen,4,75.88,303.52,Debit Card
45,5/19/2025,1,Campina Grande,7642,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,Sports,9,114.3,1028.7,Mobile Payment
46,7/19/2025,2,Astana,8978,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,Sports,14,334.91,4688.74,Mobile Payment
47,4/22/2026,1,Caçapava,1013,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,Clothing,14,497.64,6966.96,Debit Card
48,4/19/2025,8,Bromölla,3248,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum,Beauty,10,412.35,4123.5,Debit Card
49,3/28/2026,3,Clarines,2841,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia,Clothing,11,7.08,77.88,Credit Card
50,5/9/2025,9,Irvine,8393,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,Sports,4,220.88,883.52,Credit Card
51,10/15/2025,10,Bantul,6413,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,Home & Kitchen,4,408.42,1633.68,Debit Card
52,3/25/2026,7,Lahān,8973,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,Home & Kitchen,1,130.73,130.73,Cash
53,5/26/2025,3,Tirana,6501,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,Clothing,12,37.71,452.52,Mobile Payment
54,12/15/2025,7,Baqiao,4920,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,Clothing,2,412.99,825.98,Debit Card
55,4/21/2025,8,Ngurore,2253,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere,Home & Kitchen,3,313.56,940.68,Mobile Payment
56,5/23/2025,7,Porto Formoso,2999,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus,Clothing,16,480.24,7683.84,Cash
57,10/25/2025,4,Taen Tengah,3303,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,Clothing,3,42.64,127.92,Credit Card
58,5/23/2025,3,Zhongcheng,5643,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,Sports,3,239.15,717.45,Cash
59,1/16/2026,9,Motupe,7002,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,Sports,14,178.18,2494.52,Cash
60,11/5/2025,10,Ostrowsko,3156,eleifend pede libero quis orci nullam molestie nibh in lectus,Sports,17,132.23,2247.91,Debit Card
61,3/21/2026,2,Sumbersih,1371,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut,Home & Kitchen,20,348.15,6963.0,Mobile Payment
62,10/31/2025,7,Qarah Bāgh Bāzār,2622,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,Clothing,18,221.73,3991.14,Cash
63,12/4/2025,10,Khujirt,5599,suscipit ligula in lacus curabitur at ipsum ac tellus semper,Sports,20,23.68,473.6,Debit Card
64,4/27/2026,10,Yiqian,3856,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,Clothing,10,299.0,2990.0,Cash
65,12/15/2025,6,Baraguá,5061,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,Sports,17,151.74,2579.58,Debit Card
66,3/6/2026,10,Huanghuai,9306,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,Clothing,1,351.34,351.34,Credit Card
67,5/2/2026,1,Lëbushë,4957,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,Electronics,7,409.61,2867.27,Mobile Payment
68,8/23/2025,10,Dinggou,8640,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,Beauty,1,313.66,313.66,Credit Card
69,9/26/2025,10,Bueng Khong Long,4296,sit amet cursus id turpis integer aliquet massa id lobortis convallis,Clothing,8,300.73,2405.84,Debit Card
70,4/7/2025,4,Bago City,3903,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id,Clothing,5,373.47,1867.35,Cash
71,4/15/2026,8,Alhos Vedros,8039,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet,Electronics,1,341.13,341.13,Cash
72,8/26/2025,3,Bakersfield,2639,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,Sports,16,250.76,4012.16,Cash
73,7/23/2025,9,Tumpang,9449,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,Home & Kitchen,7,466.53,3265.71,Mobile Payment
74,4/24/2026,2,Pirassununga,6059,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,Home & Kitchen,12,162.45,1949.4,Cash
75,2/4/2026,4,Bayanaūyl,7282,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,Home & Kitchen,2,6.86,13.72,Cash
76,4/16/2025,10,Youdian,6314,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et,Beauty,19,13.1,248.9,Credit Card
77,4/24/2026,4,Luján de Cuyo,6978,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,Home & Kitchen,15,97.47,1462.05,Mobile Payment
78,11/16/2025,3,Huwei,5251,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,Clothing,3,364.98,1094.94,Mobile Payment
79,8/11/2025,7,Laspezia,4931,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,Clothing,19,252.87,4804.53,Mobile Payment
80,7/23/2025,1,Saint-Germain-en-Laye,9860,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,Clothing,14,272.63,3816.82,Mobile Payment
81,2/18/2026,10,São Bento,6801,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,Sports,6,186.84,1121.04,Credit Card
82,4/18/2026,4,Měnín,3278,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi,Beauty,20,130.89,2617.8,Credit Card
83,1/23/2026,9,Daugavgrīva,5100,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,Electronics,20,13.51,270.2,Debit Card
84,12/21/2025,4,Libertador General San Martín,8377,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,Electronics,10,401.54,4015.4,Cash
85,1/1/2026,3,Surup,2654,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,Electronics,12,220.57,2646.84,Mobile Payment
86,5/13/2025,5,Waco,8264,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,Clothing,19,422.47,8026.93,Cash
87,9/14/2025,5,Taihe,7561,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,Beauty,6,267.53,1605.18,Credit Card
88,1/13/2026,6,Sidayu,9226,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,Home & Kitchen,20,387.81,7756.2,Cash
89,11/29/2025,1,Gaoyi,5537,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,Electronics,1,143.08,143.08,Credit Card
90,3/4/2026,3,San Juan de Limay,9259,cubilia curae nulla dapibus dolor vel est donec odio justo,Home & Kitchen,18,422.62,7607.16,Mobile Payment
91,10/31/2025,9,Kawambwa,7412,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,Electronics,3,81.08,243.24,Credit Card
92,9/19/2025,4,Rikitgaib,7332,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,Home & Kitchen,16,126.0,2016.0,Cash
93,11/8/2025,9,Bayanan,2706,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,Beauty,3,373.52,1120.56,Cash
94,4/13/2025,5,Longtian,1535,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,Electronics,8,81.95,655.6,Debit Card
95,1/20/2026,3,Leonárisso,6284,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,Electronics,19,164.33,3122.27,Mobile Payment
96,12/28/2025,5,Pomacanchi,9134,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,Beauty,5,222.07,1110.35,Credit Card
97,2/15/2026,3,Union,5959,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,Electronics,6,139.29,835.74,Cash
98,11/2/2025,9,Birao,8413,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,Clothing,18,99.93,1798.74,Credit Card
99,4/6/2025,9,Guyancourt,4362,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,Sports,14,414.22,5799.08,Debit Card
100,3/31/2026,7,Itzer,9593,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,Electronics,13,378.66,4922.58,Credit Card
101,10/15/2025,2,Qiaozi,5588,id sapien in sapien iaculis congue vivamus metus arcu adipiscing,Clothing,15,446.98,6704.7,Cash
102,4/14/2026,5,Corinto,4531,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,Clothing,12,123.86,1486.32,Cash
103,4/14/2026,5,Biaoxi,8853,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,Sports,8,390.98,3127.84,Mobile Payment
104,3/22/2026,4,Kristiansand S,6269,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,Beauty,20,302.5,6050.0,Debit Card
105,11/17/2025,6,Xiangrong,5790,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst,Sports,2,26.54,53.08,Cash
106,5/6/2025,7,Bail,8401,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,Sports,1,273.06,273.06,Cash
107,7/30/2025,2,Runaway Bay,9449,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,Home & Kitchen,8,60.96,487.68,Mobile Payment
108,9/3/2025,3,Tisno,3422,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,Home & Kitchen,6,429.44,2576.64,Mobile Payment
